unique,day,timepoint,Group,Height,Site,Input_D1,Input_D4,Population,Tag,Colour,Size,ID,heartrate,confidence,temperature,SD_hz
Group1_upper 2_29G_uRB_D4_T1,D4,T1,1,upper,upper 2,NA,1,uRB,29,G,5.7,Group1_upper 2_29G_uRB,48.12286689,Good,20.5,0.06668811
Group1_upper 2_31G_mRB_D4_T1,D4,T1,1,upper,upper 2,NA,2,mRB,31,G,5.9,Group1_upper 2_31G_mRB,70.41564792,Good,24.3,0.228175249
Group1_upper 2_32G_uRB_D4_T1,D4,T1,1,upper,upper 2,NA,3,uRB,32,G,6.4,Group1_upper 2_32G_uRB,67.84810127,Good,24.6,0.034484451
Group1_upper 2_33G_mSU_D4_T1,D4,T1,1,upper,upper 2,NA,4,mSU,33,G,4.6,Group1_upper 2_33G_mSU,86.95652174,Good,21.8,0.250670271
Group1_upper 2_39G_mSU_D4_T1,D4,T1,1,upper,upper 2,4,5,mSU,39,G,5,Group1_upper 2_39G_mSU,54.73984319,Good,23,0.343053346
Group1_upper 3_20G_mSU_D4_T1,D4,T1,1,upper,upper 3,NA,5,mSU,20,G,4.4,Group1_upper 3_20G_mSU,78.85425442,Good,24.7,0.285677821
Group1_upper 3_3G_mRB_D4_T1,D4,T1,1,upper,upper 3,NA,0,mRB,3,G,6,Group1_upper 3_3G_mRB,101.095198,Good,21,0.159207777
Group1_upper 3_46Y_mSU_D4_T1,D4,T1,1,upper,upper 3,4,4,mSU,46,Y,5.6,Group1_upper 3_46Y_mSU,39.89361702,Good,18.6,0.24968292
Group1_upper 3_4G_uRB_D4_T1,D4,T1,1,upper,upper 3,NA,1,uRB,4,G,6.2,Group1_upper 3_4G_uRB,44.59809853,Discard,19.6,0.416104537
Group1_upper 3_6G_mRB_D4_T1,D4,T1,1,upper,upper 3,NA,2,mRB,6,G,5.5,Group1_upper 3_6G_mRB,70.18683997,Good,20.8,0.266064771
Group1_upper 3_7G_uRB_D4_T1,D4,T1,1,upper,upper 3,NA,3,uRB,7,G,6.9,Group1_upper 3_7G_uRB,74.26875795,Good,21.4,0.214164287
Group2_lower 1_1Y_uRB_D4_T1,D4,T1,2,lower,lower 1,NA,3,uRB,1,Y,6.1,Group2_lower 1_1Y_uRB,69.45681211,Good,21.8,0.165434856
Group2_lower 1_49W_mSU_D4_T1,D4,T1,2,lower,lower 1,NA,4,mSU,49,W,5.4,Group2_lower 1_49W_mSU,98.26931195,Good,23.2,0.14222071
Group2_lower 1_50W_mRB_D4_T1,D4,T1,2,lower,lower 1,NA,5,mRB,50,W,6.3,Group2_lower 1_50W_mRB,75.59848803,Good,24.6,0.304814246
Group2_lower 1_5Y_mRB_D4_T1,D4,T1,2,lower,lower 1,3,2,mRB,5,Y,6.1,Group2_lower 1_5Y_mRB,61.80257511,Good,23.7,0.063655189
Group2_lower 1_8Y_mRB_D4_T1,D4,T1,2,lower,lower 1,NA,0,mRB,8,Y,6.7,Group2_lower 1_8Y_mRB,71.56726768,Good,21.2,0.162385677
Group2_lower 1_9Y_mSU_D4_T1,D4,T1,2,lower,lower 1,NA,1,mSU,9,Y,4.4,Group2_lower 1_9Y_mSU,71.40695915,Good,21.9,0.39740872
Group2_lower 2_15W_mSU_D4_T1,D4,T1,2,lower,lower 2,NA,2,mSU,15,W,5.3,Group2_lower 2_15W_mSU,81.05726872,Good,20.4,0.263533914
Group2_lower 2_21W_uRB_D4_T1,D4,T1,2,lower,lower 2,NA,1,uRB,21,W,6,Group2_lower 2_21W_uRB,69.04250751,Good,21.1,0.082084425
Group2_lower 2_23W_mSU_D4_T1,D4,T1,2,lower,lower 2,0,5,mSU,23,W,4.7,Group2_lower 2_23W_mSU,81.52866242,Good,21.7,0.499854172
Group2_lower 2_26W_mSU_D4_T1,D4,T1,2,lower,lower 2,3,0,mSU,26,W,6,Group2_lower 2_26W_mSU,67.53603294,Good,20.3,0.269056197
Group2_lower 2_29W_mSU_D4_T1,D4,T1,2,lower,lower 2,NA,4,mSU,29,W,4.5,Group2_lower 2_29W_mSU,61.88557615,Good,19.1,0.329329361
Group2_lower 2_30W_uRB_D4_T1,D4,T1,2,lower,lower 2,NA,3,uRB,30,W,6.5,Group2_lower 2_30W_uRB,54.52067242,Good,20,0.253947484
Group2_lower 3_16Y_uRB_D4_T1,D4,T1,2,lower,lower 3,NA,2,uRB,16,Y,6.2,Group2_lower 3_16Y_uRB,72.30837395,Good,20.6,0.226704757
Group2_lower 3_35Y_mSU_D4_T1,D4,T1,2,lower,lower 3,0,1,mSU,35,Y,4.9,Group2_lower 3_35Y_mSU,77.38650827,Good,22.4,0.062132979
Group2_lower 3_38Y_mSU_D4_T1,D4,T1,2,lower,lower 3,3,0,mSU,38,Y,5.2,Group2_lower 3_38Y_mSU,58.13148789,Discard,20.4,0.289712608
Group2_upper 1_30B_mSU_D4_T1,D4,T1,2,upper,upper 1,0,0,mSU,30,B,4.8,Group2_upper 1_30B_mSU,68.60772896,Good,17,0.1649573
Group2_upper 1_37B_mSU_D4_T1,D4,T1,2,upper,upper 1,NA,3,mSU,37,B,5.9,Group2_upper 1_37B_mSU,66.37856525,Good,17.4,0.120118562
Group2_upper 1_40B_uRB_D4_T1,D4,T1,2,upper,upper 1,NA,2,uRB,40,B,6.4,Group2_upper 1_40B_uRB,54.64480874,Good,17.3,0.270081428
Group2_upper 1_41B_mRB_D4_T1,D4,T1,2,upper,upper 1,NA,1,mRB,41,B,6.5,Group2_upper 1_41B_mRB,52.48713551,Good,17.1,0.034109702
Group2_upper 1_42B_mSU_D4_T1,D4,T1,2,upper,upper 1,NA,4,mSU,42,B,5.2,Group2_upper 1_42B_mSU,76.92956558,Good,17.4,0.135644344
Group2_upper 1_44B_mRB_D4_T1,D4,T1,2,upper,upper 1,NA,5,mRB,44,B,6.3,Group2_upper 1_44B_mRB,55.29010239,Good,17.8,0.09843461
Group2_upper 2_22G_uRB_D4_T1,D4,T1,2,upper,upper 2,NA,0,uRB,22,G,5.8,Group2_upper 2_22G_uRB,55.00848896,Good,18.5,0.192535832
Group2_upper 2_23G_mSU_D4_T1,D4,T1,2,upper,upper 2,NA,1,mSU,23,G,5.3,Group2_upper 2_23G_mSU,61.04281475,Good,18.7,0.113176766
Group2_upper 2_24G_mRB_D4_T1,D4,T1,2,upper,upper 2,NA,2,mRB,24,G,6.2,Group2_upper 2_24G_mRB,68.6940966,Good,19.1,0.216614135
Group2_upper 2_41G_uRB_D4_T1,D4,T1,2,upper,upper 2,NA,3,uRB,41,G,6,Group2_upper 2_41G_uRB,50.99383139,Good,19,0.146432297
Group2_upper 2_42G_mSU_D4_T1,D4,T1,2,upper,upper 2,NA,4,mSU,42,G,5,Group2_upper 2_42G_mSU,75.09513742,Good,18.6,0.173226286
Group2_upper 2_50G_mSU_D4_T1,D4,T1,2,upper,upper 2,NA,5,mSU,50,G,4.4,Group2_upper 2_50G_mSU,73.00380228,Good,19.1,0.093994241
Group2_upper 3_13G_mRB_D4_T1,D4,T1,2,upper,upper 3,0,0,mRB,13,G,6.5,Group2_upper 3_13G_mRB,76.04562738,Good,22.8,0.139995884
Group2_upper 3_15G_uRB_D4_T1,D4,T1,2,upper,upper 3,1,1,uRB,15,G,6.1,Group2_upper 3_15G_uRB,74.02330363,Good,22.2,0.60047844
Group2_upper 3_17G_uRB_D4_T1,D4,T1,2,upper,upper 3,3,2,uRB,17,G,6,Group2_upper 3_17G_uRB,53.76344086,Good,22.7,0.033185348
Group2_upper 3_21G_mRB_D4_T1,D4,T1,2,upper,upper 3,5,3,mRB,21,G,6.5,Group2_upper 3_21G_mRB,50.14925373,Good,23,0.234389252
Group2_upper 3_48B_mRB_D4_T1,D4,T1,2,upper,upper 3,NA,4,mRB,48,B,5.8,Group2_upper 3_48B_mRB,53.89830508,Good,22.6,0.04954351
Group2_upper 3_50B_uRB_D4_T1,D4,T1,2,upper,upper 3,NA,5,uRB,50,B,5.8,Group2_upper 3_50B_uRB,43.93358876,Good,22.5,0.39768558
Group1_lower 1_31W_mRB_D4_T2,D4,T2,1,lower,lower 1,NA,0,mRB,31,W,7,Group1_lower 1_31W_mRB,80.57798555,Good,27.8,0.095548721
Group1_lower 1_32W_mSU_D4_T2,D4,T2,1,lower,lower 1,NA,1,mSU,32,W,5.3,Group1_lower 1_32W_mSU,50.39370079,Discard,24.3,0.374297477
Group1_lower 1_33W_uRB_D4_T2,D4,T2,1,lower,lower 1,NA,2,uRB,33,W,6,Group1_lower 1_33W_uRB,72.05073996,Good,26.4,0.02483601
Group1_lower 1_34W_mRB_D4_T2,D4,T2,1,lower,lower 1,NA,3,mRB,34,W,5.9,Group1_lower 1_34W_mRB,51.16918845,Good,25.8,0.23379855
Group1_lower 1_35W_mSU_D4_T2,D4,T2,1,lower,lower 1,NA,4,mSU,35,W,4.9,Group1_lower 1_35W_mSU,89.5377129,Good,27,0.175467748
Group1_lower 1_36W_uRB_D4_T2,D4,T2,1,lower,lower 1,NA,5,uRB,36,W,6.5,Group1_lower 1_36W_uRB,69.74358974,Good,24.8,0.054804436
Group1_lower 2_11W_uRB_D4_T2,D4,T2,1,lower,lower 2,NA,2,uRB,11,W,5.4,Group1_lower 2_11W_uRB,60.88794926,Good,23.8,0.121631056
Group1_lower 2_12W_mRB_D4_T2,D4,T2,1,lower,lower 2,2,5,mRB,12,W,6.5,Group1_lower 2_12W_mRB,87.4205845,Good,24.4,0.182952562
Group1_lower 2_13W_mSU_D4_T2,D4,T2,1,lower,lower 2,3,4,mSU,13,W,6.5,Group1_lower 2_13W_mSU,108.5427136,Good,25.1,0.150525287
Group1_lower 2_2W_uRB_D4_T2,D4,T2,1,lower,lower 2,NA,0,uRB,2,W,6.2,Group1_lower 2_2W_uRB,132.9416702,Good,25.9,0.445214862
Group1_lower 2_7W_mSU_D4_T2,D4,T2,1,lower,lower 2,NA,1,mSU,7,W,4.5,Group1_lower 2_7W_mSU,113.2420091,Good,27.4,0.375526281
Group1_lower 2_9W_mRB_D4_T2,D4,T2,1,lower,lower 2,1,3,mRB,9,W,5.9,Group1_lower 2_9W_mRB,107.7747989,Good,26.2,0.06487373
Group1_lower 3_14Y_uRB_D4_T2,D4,T2,1,lower,lower 3,NA,0,uRB,14,Y,6,Group1_lower 3_14Y_uRB,69.50596252,Good,25.6,0.053103496
Group1_lower 3_19Y_mSU_D4_T2,D4,T2,1,lower,lower 3,NA,1,mSU,19,Y,6.2,Group1_lower 3_19Y_mSU,76.83235046,Good,28.2,0.040105533
Group1_lower 3_22Y_mSU_D4_T2,D4,T2,1,lower,lower 3,5,3,mSU,22,Y,4.2,Group1_lower 3_22Y_mSU,122.1708035,Good,31.3,0.091458621
Group1_lower 3_23Y_uRB_D4_T2,D4,T2,1,lower,lower 3,NA,2,uRB,23,Y,6.3,Group1_lower 3_23Y_uRB,49.55752212,Good,24,0.09545543
Group1_lower 3_25Y_mSU_D4_T2,D4,T2,1,lower,lower 3,NA,4,mSU,25,Y,4.3,Group1_lower 3_25Y_mSU,50.58064516,Discard,28,0.357529117
Group1_lower 3_27Y_mRB_D4_T2,D4,T2,1,lower,lower 3,NA,5,mRB,27,Y,5.6,Group1_lower 3_27Y_mRB,58.96551724,Discard,27.3,0.408096511
Group1_upper 1_11B_mSU_D4_T2,D4,T2,1,upper,upper 1,NA,0,mSU,11,B,4.5,Group1_upper 1_11B_mSU,99.74424552,Good,31.7,0.306695866
Group1_upper 1_12B_uRB_D4_T2,D4,T2,1,upper,upper 1,NA,1,uRB,12,B,6.9,Group1_upper 1_12B_uRB,86.69783255,Good,28.9,0.065126817
Group1_upper 1_13B_mRB_D4_T2,D4,T2,1,upper,upper 1,NA,2,mRB,13,B,5.7,Group1_upper 1_13B_mRB,97.79286927,Good,28.1,0.117906929
Group1_upper 1_15B_uRB_D4_T2,D4,T2,1,upper,upper 1,NA,3,uRB,15,B,6.8,Group1_upper 1_15B_uRB,63.13109885,Good,27.8,0.02818059
Group1_upper 1_18B_mSU_D4_T2,D4,T2,1,upper,upper 1,NA,4,mSU,18,B,4.3,Group1_upper 1_18B_mSU,53.54155047,Good,25.9,0.434203281
Group1_upper 1_20B_mRB_D4_T2,D4,T2,1,upper,upper 1,0,5,mRB,20,B,5.3,Group1_upper 1_20B_mRB,94.86963835,Good,23.9,0.139258061
Group1_upper 2_28G_mRB_D4_T2,D4,T2,1,upper,upper 2,NA,0,mRB,28,G,5.5,Group1_upper 2_28G_mRB,60.43737575,Good,25.1,0.310350898
Group1_upper 2_29G_uRB_D4_T2,D4,T2,1,upper,upper 2,NA,1,uRB,29,G,5.7,Group1_upper 2_29G_uRB,73.12738045,Good,29.6,0.07116702
Group1_upper 2_31G_mRB_D4_T2,D4,T2,1,upper,upper 2,NA,2,mRB,31,G,5.9,Group1_upper 2_31G_mRB,80.68085106,Good,22.8,0.148368806
Group1_upper 2_32G_uRB_D4_T2,D4,T2,1,upper,upper 2,NA,3,uRB,32,G,6.4,Group1_upper 2_32G_uRB,67.7212484,Good,27.6,0.033760593
Group1_upper 2_33G_mSU_D4_T2,D4,T2,1,upper,upper 2,NA,4,mSU,33,G,4.6,Group1_upper 2_33G_mSU,52.20301171,Discard,26,0.394120746
Group1_upper 2_39G_mSU_D4_T2,D4,T2,1,upper,upper 2,4,5,mSU,39,G,5,Group1_upper 2_39G_mSU,43.44370861,Discard,26,0.293030604
Group1_upper 3_20G_mSU_D4_T2,D4,T2,1,upper,upper 3,NA,5,mSU,20,G,4.4,Group1_upper 3_20G_mSU,72.83763278,Good,30.9,0.352703975
Group1_upper 3_3G_mRB_D4_T2,D4,T2,1,upper,upper 3,NA,0,mRB,3,G,6,Group1_upper 3_3G_mRB,99.68051118,Good,29.1,0.039234656
Group1_upper 3_46Y_mSU_D4_T2,D4,T2,1,upper,upper 3,4,4,mSU,46,Y,5.6,Group1_upper 3_46Y_mSU,40.18475751,Discard,23.3,0.432290324
Group1_upper 3_4G_uRB_D4_T2,D4,T2,1,upper,upper 3,NA,1,uRB,4,G,6.2,Group1_upper 3_4G_uRB,100.9774756,Good,28.2,0.037824429
Group1_upper 3_6G_mRB_D4_T2,D4,T2,1,upper,upper 3,NA,2,mRB,6,G,5.5,Group1_upper 3_6G_mRB,95.75808484,Good,26.9,0.135604818
Group1_upper 3_7G_uRB_D4_T2,D4,T2,1,upper,upper 3,NA,3,uRB,7,G,6.9,Group1_upper 3_7G_uRB,104.259806,Good,30.6,0.256441606
Group2_lower 1_1Y_uRB_D4_T2,D4,T2,2,lower,lower 1,NA,3,uRB,1,Y,6.1,Group2_lower 1_1Y_uRB,88.84670147,Good,25.2,0.307449374
Group2_lower 1_49W_mSU_D4_T2,D4,T2,2,lower,lower 1,NA,4,mSU,49,W,5.4,Group2_lower 1_49W_mSU,103.0607583,Good,26.9,0.057349143
Group2_lower 1_50W_mRB_D4_T2,D4,T2,2,lower,lower 1,NA,5,mRB,50,W,6.3,Group2_lower 1_50W_mRB,84.4835572,Good,26,0.085378996
Group2_lower 1_5Y_mRB_D4_T2,D4,T2,2,lower,lower 1,3,2,mRB,5,Y,6.1,Group2_lower 1_5Y_mRB,61.98137172,Good,26.8,0.041879297
Group2_lower 1_8Y_mRB_D4_T2,D4,T2,2,lower,lower 1,NA,0,mRB,8,Y,6.7,Group2_lower 1_8Y_mRB,57.80645161,Good,26.7,0.055649573
Group2_lower 1_9Y_mSU_D4_T2,D4,T2,2,lower,lower 1,NA,1,mSU,9,Y,4.4,Group2_lower 1_9Y_mSU,107.0518267,Good,26.9,0.134007885
Group2_lower 2_15W_mSU_D4_T2,D4,T2,2,lower,lower 2,NA,2,mSU,15,W,5.3,Group2_lower 2_15W_mSU,90.01264223,Good,26.6,0.24814951
Group2_lower 2_21W_uRB_D4_T2,D4,T2,2,lower,lower 2,NA,1,uRB,21,W,6,Group2_lower 2_21W_uRB,76.25590382,Good,28.9,0.037818374
Group2_lower 2_23W_mSU_D4_T2,D4,T2,2,lower,lower 2,0,5,mSU,23,W,4.7,Group2_lower 2_23W_mSU,71.98892478,Good,26.1,0.080471554
Group2_lower 2_26W_mSU_D4_T2,D4,T2,2,lower,lower 2,3,0,mSU,26,W,6,Group2_lower 2_26W_mSU,112.4525116,Good,28.6,0.136251172
Group2_lower 2_29W_mSU_D4_T2,D4,T2,2,lower,lower 2,NA,4,mSU,29,W,4.5,Group2_lower 2_29W_mSU,47.39069111,Discard,27.7,0.303577586
Group2_lower 2_30W_uRB_D4_T2,D4,T2,2,lower,lower 2,NA,3,uRB,30,W,6.5,Group2_lower 2_30W_uRB,56.34882607,Good,25.2,0.02242438
Group2_lower 3_16Y_uRB_D4_T2,D4,T2,2,lower,lower 3,NA,2,uRB,16,Y,6.2,Group2_lower 3_16Y_uRB,89.37238494,Good,28.8,0.270498234
Group2_lower 3_35Y_mSU_D4_T2,D4,T2,2,lower,lower 3,0,1,mSU,35,Y,4.9,Group2_lower 3_35Y_mSU,81.99566161,Good,26.3,0.257729708
Group2_lower 3_38Y_mSU_D4_T2,D4,T2,2,lower,lower 3,3,0,mSU,38,Y,5.2,Group2_lower 3_38Y_mSU,55.5984556,Discard,27.1,0.319308404
Group2_upper 1_30B_mSU_D4_T2,D4,T2,2,upper,upper 1,0,0,mSU,30,B,4.8,Group2_upper 1_30B_mSU,108.7704574,Good,33.2,0.092204335
Group2_upper 1_37B_mSU_D4_T2,D4,T2,2,upper,upper 1,NA,3,mSU,37,B,5.9,Group2_upper 1_37B_mSU,38.2300885,Good,30.8,0.446837619
Group2_upper 1_40B_uRB_D4_T2,D4,T2,2,upper,upper 1,NA,2,uRB,40,B,6.4,Group2_upper 1_40B_uRB,80.33898305,Good,32.4,0.082728874
Group2_upper 1_41B_mRB_D4_T2,D4,T2,2,upper,upper 1,NA,1,mRB,41,B,6.5,Group2_upper 1_41B_mRB,80.40712468,Good,29.4,0.070752647
Group2_upper 1_42B_mSU_D4_T2,D4,T2,2,upper,upper 1,NA,4,mSU,42,B,5.2,Group2_upper 1_42B_mSU,119.7802198,Good,27.5,0.325569758
Group2_upper 1_44B_mRB_D4_T2,D4,T2,2,upper,upper 1,NA,5,mRB,44,B,6.3,Group2_upper 1_44B_mRB,83.10249307,Good,33.8,0.040693719
Group2_upper 2_22G_uRB_D4_T2,D4,T2,2,upper,upper 2,NA,0,uRB,22,G,5.8,Group2_upper 2_22G_uRB,60.52631579,Good,28.6,0.27540629
Group2_upper 2_23G_mSU_D4_T2,D4,T2,2,upper,upper 2,NA,1,mSU,23,G,5.3,Group2_upper 2_23G_mSU,37.15170279,Good,25.8,0.208221989
Group2_upper 2_24G_mRB_D4_T2,D4,T2,2,upper,upper 2,NA,2,mRB,24,G,6.2,Group2_upper 2_24G_mRB,42.56951103,Good,29.4,0.315234071
Group2_upper 2_41G_uRB_D4_T2,D4,T2,2,upper,upper 2,NA,3,uRB,41,G,6,Group2_upper 2_41G_uRB,46.19615032,Discard,31.9,0.242650601
Group2_upper 2_42G_mSU_D4_T2,D4,T2,2,upper,upper 2,NA,4,mSU,42,G,5,Group2_upper 2_42G_mSU,42.49767008,Discard,32,0.365692622
Group2_upper 2_50G_mSU_D4_T2,D4,T2,2,upper,upper 2,NA,5,mSU,50,G,4.4,Group2_upper 2_50G_mSU,41.92139738,Good,29.6,0.385487398
Group2_upper 3_13G_mRB_D4_T2,D4,T2,2,upper,upper 3,0,0,mRB,13,G,6.5,Group2_upper 3_13G_mRB,50.62419285,Good,31.6,0.29126005
Group2_upper 3_15G_uRB_D4_T2,D4,T2,2,upper,upper 3,1,1,uRB,15,G,6.1,Group2_upper 3_15G_uRB,50.63291139,Good,31.6,0.376164963
Group2_upper 3_17G_uRB_D4_T2,D4,T2,2,upper,upper 3,3,2,uRB,17,G,6,Group2_upper 3_17G_uRB,84.74576271,Good,31.9,0.050223323
Group2_upper 3_21G_mRB_D4_T2,D4,T2,2,upper,upper 3,5,3,mRB,21,G,6.5,Group2_upper 3_21G_mRB,85.91096833,Good,30.6,0.114821967
Group2_upper 3_48B_mRB_D4_T2,D4,T2,2,upper,upper 3,NA,4,mRB,48,B,5.8,Group2_upper 3_48B_mRB,65.99450046,Good,33.8,0.104826846
Group2_upper 3_50B_uRB_D4_T2,D4,T2,2,upper,upper 3,NA,5,uRB,50,B,5.8,Group2_upper 3_50B_uRB,55.48549811,Good,30.4,0.088861192
